On The Road Again|Canned Heat
Right Place Wrong Time|Dr. John
Young And Warm And Wonderful|Tony Bennett
High And Dry|Radiohead
Under The Milky Way|The Church
Candy|Mandy Moore
Just Don't Want To Be Lonely|Ronnie Dyson
Working In The Coal Mine|Lee Dorsey
Light Sings|The 5th Dimension
Secretly|The Lettermen
Power Play|Molly Hatchet
For Once In My Life|Tony Bennett
Firestarter|The Prodigy
Victim Of Love|Bryan Adams
On A Clear Day You Can See Forever|Johnny Mathis
Follow You|Glen Burtnick
Sinner Man|Sarah Dash
Let's Dance|Chris Rea
The Animal Trainer And The Toad|Mountain
Bug A Boo|Destiny's Child
You Should Do It|Peter Brown With Betty Wright
Let Me Sleep Alone|Cugini
Tell Her She's Lovely|El Chicano
You Got Me Walking|Jackie Wilson
Danny Boy|Patti LaBelle And The Blue Belles
Da' Dip|MC Luscious Featuring Kinsui
Bring It Home (And Give It To Me)|Hot Sauce
Nightwalker|Gino Vannelli
Bella Linda|The Grass Roots
My Lover's Prayer|Otis Redding
Special Way|Kool & The Gang
Honey (I Miss You)|O.C. Smith
The Rapper|The Jaggerz
Think I'll Go Somewhere And Cry Myself To Sleep|Al Martino
Leavin'|The Tony Rich Project
Canadian Sunset|Etta Jones
Opportunities (Let's Make Lots Of Money)|Pet Shop Boys
Why I Sing The Blues|B.B. King
Sing A Song/Make Your Own Kind Of Music|Barbra Streisand
Who Is It|Michael Jackson
Lucky Me|Moments
You Tell Me Why|The Beau Brummels
Don't Set Me Free|Ray Charles and his Orchestra
Ida Jane|Fats Domino
I Wonder Why|Dion & The Belmonts
Heartaches|Patsy Cline
Whole Lotta Love|The Wonder Band
Are You Really Mine|Jimmie Rodgers
Maria (You Were The Only One)|Jimmy Ruffin
All By Myself|Eric Carmen
What Do I Care|Johnny Cash
Am I Losing You|The Partridge Family Starring Shirley Jones Featuring David Cassidy
Suavecito|Malo
You Don't Know Girls|Kathy Linden
Ain't No Love In The Heart Of The City|Bobby Bland
Mr. Walker  It's All Over|Billie Jo Spears
One Summer Night|The Diamonds
Alligator Bogaloo|Lou Donaldson
Al Di La'|Emilio Pericoli
A Little Toy Balloon|Danny Williams
Humps For The Blvd.|Rodney O & Joe Cooley
Country Boy|Fats Domino
Whatever You Want|Jerry Butler
Alone|Bee Gees
Can We (From Booty Call)|SWV
Mellow Yellow|Senator Bobby & Senator McKinley
Forever|Mercy
Sir Duke|Stevie Wonder
When You Say Nothing At All|Alison Krauss + Union Station
Mornin'|Jarreau
Easy For You To Say|Linda Ronstadt
Old Enough To Love|Ricky Nelson
I Don't Want To Cry|Chuck Jackson
Blow Away|George Harrison
Cherry Bomb|John Mellencamp
Sweet Georgia Brown|Carroll Bros.
Workin' For The Man|Roy Orbison
I Need You|Maurice White
Please Tell Me Why|Jackie Wilson
Bullwhip Rock|Cyclones
Shoe Shoe Shine|Dynamic Superiors
She's Ready|Spiral Starecase Featuring: Pat Upton
For Lovin' Me|Peter  Paul & Mary
Hungah|Karyn White
First Taste Of Love|Ben E. King
Baby Don't Go|Karla Bonoff
One More Minute|Saint Tropez
Ask Me|Maxine Brown
You're Driving Me Out Of My Mind|Little River Band
Hook And Sling-Part I|Eddie Bo
I Can't Control Myself|The Troggs
Don't Fence Me In|George Maharis
Bedtime Story|Tammy Wynette
One Night Stand|The Magic Lanterns
Speak Her Name|Walter Jackson
Love In 'C' Minor|The Heart And Soul Orchestra
Airport Love Theme (Gwen And Vern)|Vincent Bell
My Last Date (With You)|Joni James
Do It With Feeling|Michael Zager's Moon Band/Peabo Bryson
I Can Make It Thru The Days (But Oh Those Lonely Nights)|Ray Charles
One Mint Julep|Ray Charles
Saturday In The Park|Chicago
Borrowed Love|Bingo Boys
Full Measure|The Lovin' Spoonful
Star|Earth  Wind & Fire
Volare (Nel Blu Dipinto Di Blu)|Dean Martin
Love Me One More Time (Just For Old Times Sake)|Karen Nelson And Billy T
Shortnin' Bread|Paul Chaplain and his Emeralds
The World Through A Tear|Neil Sedaka
He's So Fine|Jody Miller
To A Sleeping Beauty|Jimmy Dean
Angeleyes|ABBA
Who's Been Sleeping In My Bed?|Linda Scott
Alabam|Pat Boone
Mademoiselle|Styx
The Best Of Me|David Foster And Olivia Newton-John
Piece Of My Heart|Big Brother And The Holding Company
Bombs Away|Bob Weir
You Keep Me Dancing|Samantha Sang
Touch Me When We're Dancing|Bama
Thank U Very Much|The Scaffold
That's Love|Jim Capaldi
Palace Guard|Rick Nelson And The Stone Canyon Band
Somebody (Somewhere) Needs You|Darrell Banks
Give It Away|The Chi-lites
Steal Away|Robbie Dupree
Roly Poly|Joey Dee & the Starliters
Rip Off|Laura Lee
The Yen Yet Song|Gary Cane And His Friends
I'll Do 4 U|Father M.C.
Tin Soldier|Small Faces
Jamaica Ska|The Ska Kings
Could You Ever Love Me Again|Gary & Dave
American Memories|Shamus M'Cool
So Excited|B.B. King
You Keep Me Hangin' On|The Supremes
Shake|Sam Cooke
Goodbye My Love|James Brown
Yesterday's Hero|Bay City Rollers
I'm On The Outside (Looking In)|Little Anthony And The Imperials
Sail On|Commodores
People Are Changin'|Timmy Thomas
There's Always Me|Elvis Presley With The Jordanaires
Don't Go Out Into The Rain (You're Going To Melt)|Herman's Hermits
High|The Cure
Proud Mary|The Checkmates  Ltd. Featuring Sonny Charles
If You Don't Want My Lovin'|Carl Dobkins  Jr.
All That Glitters Isn't Gold|The Cover Girls
Swingin'|John Anderson
Hey Girl/I Knew You When|Donny Osmond
I Gotta Try|Michael McDonald
True  True Love|Frankie Avalon
Looks That Kill|Motley Crue
Can't Help Lovin' That Girl Of Mine|The Excels
Remember Me|Rita Pavone
Do It Again/Billie Jean|Club House
A Girl In Trouble (Is A Temporary Thing)|Romeo Void
You'd Better Come Home|Petula Clark
Love Me The Right Way|Rapination & Kym Mazelle
What's On Your Mind (Pure Energy)|Information Society
Invitation To Dance|Kim Carnes
Heavenly|The Temptations
I'll Turn To Stone|Four Tops
Back On My Feet Again|The Foundations
You're Fooling You|The Dramatics
Why Can't This Night Go On Forever|Journey
Talk About Love|Adam Faith
Quiet Nights Of Quiet Stars|Andy Williams
The Crying Game|Brenda Lee
Uptight (Everything's Alright)|Nancy Wilson
The Ghetto-Part 1|Donny Hathaway
Street Talk|B.C.G. (B.C. Generation)
Your Love Is So Doggone Good|The Whispers
Take Me Home  Country Roads|John Denver
Ain't Nothin' But A House Party|The Show Stoppers
On Bended Knees|Clarence Henry
You're The Only One|Geils
Three Steps From The Altar|Shep And The Limelites
Living Doll|Cliff Richard and The Drifters
I Want You To Be My Boy|The Exciters
Touch The Fire|Icehouse
Howzat|Sherbet
Chains Of Love|Erasure
Call On Me|Chicago
Wait A Minute|The Coasters
You Take Me Up|Thompson Twins
Jackie's Strength|Tori Amos
Living Inside Myself|Gino Vannelli
A Miracle|Frankie Avalon
Toss-Up|N2Deep
Am I Wrong|Love Spit Love
I Surrender|Fontella Bass
Not Just Another Girl|Ivan Neville
Hang On|Floyd Cramer
With Pen In Hand|Bobby Goldsboro
Spanish Eyes|Al Martino
Hey Now|Lesley Gore
One Night Affair|The O'Jays
Here's Some Love|Tanya Tucker
Don't Take The Stars|The Mystics
Thank You Girl|Street People
The Lonely Crowd|Teddy Vann
This Old Heart Of Mine (Is Weak For You)|Tammi Terrell
Do Wah Diddy Diddy|Manfred Mann
Yesterday|Ray Charles
Heed The Call|Kenny Rogers & The First Edition
Just One More Day|Otis Redding
Are You Ready?|Pacific Gas And Electric
One Hundred Ways|Quincy Jones Featuring James Ingram
I Saw Her Again|The Mamas & The Papas
Notorious|Duran Duran
A Friend In The City|Andy Kim
2 Way Street|Missjones
Mama Told Me Not To Come|Wilson Pickett
Outside My Window|The Fleetwoods
When A Boy Falls In Love|Mel Carter
Juicy Fruit|Mtume
Don't Look Back|The Temptations
Lucky Me|Anne Murray
All My Life|Linda Ronstadt (Featuring Aaron Neville)
Let's Lock The Door (And Throw Away The Key)|Jay & The Americans
Suddenly|Nickey DeMatteo
The A Team|SSgt Barry Sadler
Love Has No Pride|Linda Ronstadt
So Many Ways (From High School High)|The Braxtons
Blessed Are The Lonely|Robert Knight
Rusty Bells|Brenda Lee
Tide Is High|Angelina
You Don't Have To Be A Star (To Be In My Show)|Marilyn McCoo & Billy Davis  Jr.
Am I Forgiven|Isle Of Man
I Didn't Mean To Turn You On|Cherelle
Be My Girl|The Dramatics
Ebb Tide|Lenny Welch
Doll House|Donnie Brooks
Live  Laugh  Love|Clay Walker
Love Is The Ritual|Styx
Rainbow|Gene Chandler
She's A Woman|The Beatles
Get Ready  Here It Comes (It's The Choo-Choo)|Southsyde B.O.I.Z.
Alone Again|Dokken
Soldier's Last Letter|Merle Haggard And The Strangers
15 Minutes|Marc Nelson
Don't Let The Sun Catch You Crying|Gerry And The Pacemakers
5.7.0.5.|City Boy
Stardust|Frank Sinatra
Light My Fire/137 Disco Heaven|Amii Stewart
Beggin'|The 4 Seasons Featuring the Sound of Frankie Valli
Catch The Wind|Donovan
Who's Gonna Ride Your Wild Horses|U2
They're Here|Boots Walker
Money Changes Everything|Cyndi Lauper
It's Unbelievable|The Larks
Goodbye To You|Scandal Featuring Patty Smyth
The Windows Of The World|Dionne Warwick
This Is The Time|Dennis DeYoung
I Know You Better Than That|Bobby Goldsboro
A Face In The Crowd|Tom Petty
Some Kind-A Earthquake|Duane Eddy His Twangy Guitar And The Rebels
The Night Owls|Little River Band
Pepino The Italian Mouse|Lou Monte
Secret Love|Freddy Fender
Chain Of Fools|Aretha Franklin
High On Your Love|Debbie Jacobs
Big Gun (From Last Action Hero)|AC/DC
I Gotta Woman (Part One)|Ray Charles and his Orchestra
Too Young To Go Steady|Connie Stevens
Looking Back|Nat King Cole
Touch And Go|Ecstasy  Passion & Pain Featuring Barbara Roy
Diary Of A Madman|Gravediggaz
Big Man|The Four Preps
Anytime|Journey
Summertime Blues|Eddie Cochran
What You're Missing|Chicago
Sugar Dumpling|Sam Cooke
Brown Paper Bag|Syndicate Of Sound
What's He Doing In My World|Eddy Arnold
(Theme From) Silver City|The Ventures
Somebody's Out There Watching|The Kinleys
King Heroin|James Brown
Animal Zoo|Spirit
Home|Depeche Mode
She Won't Talk To Me|Luther Vandross
My Baby|The Temptations
West End Girls|Pet Shop Boys
Fortune Teller|The Hardtimes
Sixteen Reasons|Laverne & Shirley
Second Hand Rose|Barbra Streisand
Money  Money  Money|ABBA
That's The Way God Planned It|Billy Preston
Squeeze Her-Tease Her (But Love Her)|Jackie Wilson
I Drive Myself Crazy|'N Sync
Carolina In My Mind|Crystal Mansion Featuring Johnny Caswell
Love Walked In|The Flamingos
I Put A Spell On You|Alan Price Set
Paper Tiger|Sue Thompson
White Hot|Red Rider
Nobody But You Babe|Clarence Reid
The (Bossa Nova) Bird|The Dells
I Take What I Want|James & Bobby Purify
Holding My Heart|Bang
Rain|SWV
Jackie Wilson Said (I'm In Heaven When You Smile)|Van Morrison
I Knew Jesus (Before He Was A Star)|Glen Campbell
Mirror Man|The Human League
My Favorite Girl|Dave Hollister
Why Must We Wait Until Tonight|Tina Turner
Baby I'm For Real/Natural High|After 7
Give It To The People|The Righteous Brothers
Son Of A Travelin' Man|Ed Ames
You Better Go|Derek Martin
Drown In My Own Tears|Don Shirley
Gold|Prince
Are You Serious|Tyrone Davis
Always|Luther Ingram
Sunshine  Lollipops And Rainbows|Lesley Gore
Shattered|The Rolling Stones
Walk Right Now|The Jacksons
Whateva Man|Redman
Leavin' On Your Mind|Patsy Cline
Vow|Garbage
I Come Off|Young M.C.
A Cowboys Work Is Never Done|Sonny & Cher
(It's Been A Long Time) Pretty Baby|Gino & Gina
Day After Day (It's Slippin' Away)|Shango
Friday's Child|Nancy Sinatra
That's The Way With Love|Piero Soffici
Will You Love Me Tomorrow?|Melanie
Power Of Love|Laura Branigan
Tell The Truth|Jude Cole
Sad New Day|Me Phi Me
Open Sesame - Part 1|Kool & The Gang
Toys In The Attic|Joe Sherman  his Orchestra and Chorus
Sail Away|The Temptations
Zero-Zero|Lawrence Welk
Working My Way Back To You|The 4 Seasons Featuring the Sound of Frankie Valli
Closer To Home (I'm Your Captain)|Grand Funk Railroad
On A Carousel|Glass Moon
Automatic|The Pointer Sisters
Come Together|Aerosmith
(We'll Be) United|The Intruders
It's Wonderful To Be In Love|The Ovations (Featuring Louis Williams)
Wishing You Were Here|Chicago
(Now and Then There's) A Fool Such As I|Elvis Presley With The Jordanaires
Kentucky Woman|Neil Diamond
Old Days|Chicago
Do You Compute?|Donnie Iris
Sue's Gotta Be Mine|Del Shannon
Please Mr. Sun|The Vogues
Sea Cruise|Johnny Rivers
Together Alone|Melanie
Our Anniversary|Shep And The Limelites
I Really Don't Want To Know|Ronnie Dove
Love On A Two-Way Street|The Moments
Somebody Send My Baby Home|Lenny LeBlanc
Marie|The Bachelors
Don't It Make You Wanna Dance?|Rusty Wier
A Rose Is Still A Rose|Aretha Franklin
Flamingo|Herb Alpert & The Tijuana Brass
Double Shot (Of My Baby's Love)|Swingin' Medallions
Raspberries  Strawberries|The Kingston Trio
Who's Behind The Door?|Zebra
It's The End Of The World As We Know It (And I Feel Fine)|R.E.M.
No More Games|Skin Deep Featuring Li'l Kim Of Junior M.A.F.I.A.
The Things That I Used To Do|James Brown And His Orchestra
A Friend Of Mine Is Going Blind|John Dawson Read
Never My Love|The 5th Dimension
Getting Closer|Wings
Grizzly Bear|The Youngbloods
Boy Blue|Cyndi Lauper
The Year That Clayton Delaney Died|Tom T. Hall
Nola|Billy Williams
Unconditional Love|Donna Summer
Apache|Sonny James
Hurt|The Manhattans
Blue Christmas|The Browns Featuring Jim Edward Brown
Are You Sincere|Trini Lopez
Dancing In Paradise|El Coco
The Jokers|Peter And Gordon
Everlasting Love|Rex Smith/Rachel Sweet
Fantasy|Earth  Wind & Fire
Rock & Roll Runaway|Ace
Do You Wanna Dance|Ramones
Sho Nuff|Tela Featuring Eightball & MJG
Georgie Porgie|Jewel Akens
Don't Tell Me You Love Me|Night Ranger
It's Not A Wonder|Little River Band
Touch Me|Solo
The Red Back Spider|Brownsville Station
The Boy With The Beatle Hair|The Swans
Strange Are The Ways Of Love|Gogi Grant
U Send Me Swingin'|Mint Condition
Something You Got|Ramsey Lewis Trio
Do It  Fluid|The Blackbyrds
Please Don't Tell Me How The Story Ends|Ronnie Milsap
Beer Barrel Polka/Dick And Jane|Bobby Vinton
Mini-Skirt Minnie|Wilson Pickett
An Everlasting Love|Andy Gibb
Fly Me To The Moon (In Other Words)|Tony Bennett
Love Land|Charles Wright And The Watts 103rd Street Rhythm Band
I Feel So Bad|Elvis Presley
Sing Along With Me|Tommy Roe
Easy To Be Hard|Three Dog Night
Mary Don't You Weep|Stonewall Jackson
What I Didn't Know|Athenaeum
Foolish Fool|Dee Dee Warwick
Why (Am I Treated So Bad)|The Sweet Inspirations
Boogie Bear|Boyd Bennett
(Our Love) Don't Throw It All Away|Andy Gibb
Little Red Riding Hood|Big Bopper
Hold Me 'til The Mornin' Comes|Paul Anka
I Think I Can Beat Mike Tyson|D.J. Jazzy Jeff & The Fresh Prince
The Second Time Around|Frank Sinatra
I Believe|Chilliwack
Good Morning Starshine|Oliver
Sounds Of Your Voice|Jon Butcher Axis
I Want Your Love|Chic
Steamy Windows|Tina Turner
I've Been In Love Before|Cutting Crew
If Your Heart Isn't In It|Atlantic Starr
Baby I Want You|Funky Communication Committee
Somebody Else's Guy|Jocelyn Brown
Let There Be Drums|Sandy Nelson
In The Meantime|Georgie Fame And The Blue Flames
She's About A Mover|Sir Douglas Quintet
You Are The Woman|Firefall
Roots  Rock  Reggae|Bob Marley And The Wailers
White Bucks And Saddle Shoes|Bobby Pedrick  Jr.
Walking Along|The Diamonds
For A While|Mary Macgregor
Invisible Touch|Genesis
Idaho|The 4 Seasons
Ready  Willing and Able|The American Breed
My Baby Don't Dig Me|Ray Charles and his Orchestra
You Made Me Love You|Nat King Cole
Hello  Dolly!|Bobby Darin
It Hit Me Like A Hammer|Huey Lewis & The News
Mine For Me|Rod Stewart
Stop!|The Moody Blues
Was Dog A Doughnut|Cat Stevens
Time For Livin'|Sly & The Family Stone
More Love|Kim Carnes
Truckin'|Grateful Dead
You Got That Touch|Sonny James
Work To Do|The Isley Brothers
I Don't Wanna Be A Loser|Lesley Gore
I Just Called To Say I Love You|Stevie Wonder
Chattanooga Choo Choo|Floyd Cramer
It Don't Hurt No More|Nappy Brown
Fly Like An Eagle|Steve Miller
Now Or Never|Axe
Elvira|Dallas Frazier
Little Queenie|Chuck Berry
Love And Liberty|Laura Lee
Hold On|Donny Osmond
Cinderella Sunshine|Paul Revere & The Raiders Featuring Mark Lindsay
Midnight Rendezvous|The Babys
Jesus To A Child|George Michael
I Get Weak|Belinda Carlisle
Heart Full Of Soul|The Yardbirds
Hey Hey Bunny|John Fred And The Playboys
6 Underground|Sneaker Pimps
Take My Hand|Kenny Rogers & The First Edition
All Of My Life|Lesley Gore
I Count The Tears|The Drifters
For Your Love|Peaches & Herb
Silly Ho|TLC
The One I Love|R.E.M.
Anyone For Tennis|Cream
Together Let's Find Love|The 5th Dimension
Games|Redeye
Love Hurts|Jim Capaldi
Someday (When I'm Gone From You)|Bobby Vee and The Crickets
Mammy Blue|Stories
Dr. Ben Basey|Mickey Shorr and The Cutups
You Are The Only One|Ricky Nelson
Irresistable You|Bobby Peterson
Fallin' In Love|Hamilton  Joe Frank & Reynolds
Lover Come Back To Me|The Cleftones
I'll Never Break Your Heart|Backstreet Boys
Good Friends|Joni Mitchell
Help Me  Rhonda|The Beach Boys
If U Were Mine|The U-Krew
My World Is Empty Without You|The Supremes
I Am Love|Jennifer Holliday
Heaven|Solo
Mercy  Mercy  Mercy|Larry Williams & Johnny Watson
Love Me Tomorrow|Chicago
Be My Baby|Cissy Houston
I'm Mandy Fly Me|10cc
Steps 1 And 2|Jack Scott
I Got Stung|Elvis Presley
Rockin' In The Same Old Boat|Bobby Bland
Dancer|Gino Soccio
Knock On Wood|Eddie Floyd
She Really Loves You|Timi Yuro
Somebody's Been Sleeping|100 Proof Aged in Soul
After Midnight|J.J. Cale
(Lay Your Head On My) Pillow|Tony Toni Tone
A Texan And A Girl From Mexico|Anita Bryant
Almost Summer|Celebration featuring Mike Love
Strength|The Alarm
It's Too Late/I Feel The Earth Move|Carole King
Cherié|Bobby Rydell
Tennessee Stud|Eddy Arnold
Would I Lie To You?|Charles & Eddie
Sexy  Sexy  Sexy|James Brown
Swinging On A Star|Big Dee Irwin (with Little Eva)
Feelin' Stronger Every Day|Chicago
It's All About U|SWV
I Know What Boys Like|The Waitresses
Reap What You Sow|Billy Stewart
Tramp|Lowell Fulsom
Everything I Do Gonh Be Funky (From Now On)|Lee Dorsey
Georgy Girl|Baja Marimba Band
Love (Makes the World Go 'round)|Paul Anka
Till There Was You|Valjean on Piano
Whole Lotta Woman|Arthur Conley
Framed|Cheech & Chong
I Sold My Heart To The Junkman|The Blue-Belles
Do Da What|1 Of The Girls
Angie Baby|Helen Reddy
Boo Boo Stick Beat|Chet Atkins
Sorry Suzanne|The Hollies
Just The Same Way|Journey
Straighten Up & Fly Right|DeJohn Sisters
Livin' In The Life|The Isley Brothers
Mr. Businessman|Ray Stevens
